Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3]
1,2948,294,1.000000,0.835758,0.846452,-0.010695,1.045492,1.230617,-0.185125,0.622231,0.439319,0.182912,1.846412,1.569648,0.276763,1.058869,1.140096,-0.081227,1.178982,1.014390,0.164591,0.354214,0.403076,-0.048862,1.451777,1.526084,-0.074308,1.367721,1.169656,0.198065,1.199607,1.138856,0.060751,1.471429,1.589762,-0.118333,1.680938,1.737995,-0.057058
2,1627,162,1.000000,0.534140,0.500144,0.033996,0.750096,0.831414,-0.081318,0.662359,0.549567,0.112792,1.197202,1.075442,0.121760,0.597094,0.714060,-0.116967,1.272826,1.121839,0.150988,0.104685,0.197235,-0.092550,1.220777,1.117686,0.103090,1.078672,0.825009,0.253663,1.069662,1.042568,0.027094,0.705252,0.640834,0.064418,1.314906,1.230561,0.084345
3,644,64,1.000000,0.434924,0.398014,0.036911,0.803528,0.818080,-0.014553,0.004203,-0.048907,0.053111,1.316734,1.225612,0.091122,0.449340,0.421636,0.027703,0.610679,0.574479,0.036200,-0.018924,-0.051213,0.032288,0.180964,0.149178,0.031786,0.093323,-0.115050,0.208373,0.216324,0.201429,0.014896,0.495580,0.293231,0.202349,1.758230,1.539608,0.218622
4,743,74,1.000000,1.478182,1.508471,-0.030289,2.256675,2.702636,-0.445961,0.476761,0.424670,0.052091,2.025755,1.568127,0.457628,0.688198,0.790279,-0.102081,1.443506,1.392656,0.050850,1.350180,1.476917,-0.126736,1.383432,1.538651,-0.155219,2.310410,1.749227,0.561183,4.392391,4.513006,-0.120615,3.083466,3.113567,-0.030101,1.481479,1.533967,-0.052488
5,462,46,1.000000,1.932788,1.901366,0.031421,0.689090,0.983380,-0.294290,0.372254,0.263826,0.108428,1.074475,0.804836,0.269639,1.293169,1.509547,-0.216378,1.775617,1.644829,0.130788,1.154180,1.105307,0.048872,0.740014,1.165898,-0.425884,0.520231,0.384781,0.135450,2.295061,2.517442,-0.222381,1.418419,1.510107,-0.091688,2.496555,2.543195,-0.046640
6,370,37,1.000000,2.168930,1.977727,0.191203,1.286176,1.430515,-0.144339,0.414204,0.330855,0.083350,2.526608,1.683705,0.842903,3.052947,2.669755,0.383192,2.872388,2.817640,0.054748,1.317765,1.474158,-0.156393,1.933580,1.911991,0.021589,2.178965,1.795361,0.383604,2.018475,1.947482,0.070993,1.899243,1.935319,-0.036076,1.927422,2.020247,-0.092825

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
